Model,R2,RMSE,MAE,Training Time (s),Prediction Time (s),Total Execution Time (s),CPU Time (s),Peak Memory (MB)
Multiple Linear Regression (MLR),0.810068524121538,7.181691142909514,5.277764272163737,0.12204669999846374,0.004071300001669442,0.12612110000191024,0.046875,1.1726436614990234
"K-Nearest Neighbors Regression (KNNR, k=5)",0.786056927783001,7.622147808454671,5.528427860696517,0.00757539999904111,0.0041128999982902315,0.011690600000292761,0.0,0.2502880096435547
