Model,R2_Score,RMSE,MAE,Train_Time_sec,Test_Time_sec,Memory_Used_MB
Multiple Linear Regression (MLR),1.0,2.9046931418036024e-13,2.582964953035116e-13,0.04634809494018555,0.000148773193359375,0.3125
KNNR (K=3),0.9935429322331898,7.438097319431449,5.534826666666666,0.0014088153839111328,0.0007808208465576172,0.00390625
